query,clip_dir,score,is_positive,motion,road_context,weather,time_of_day
The vehicle is turning left.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/02,0.33113476634025574,False,turning right,city street,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/03,0.055441856384277344,False,curved lane driving,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/04,0.05294789373874664,False,moving straight,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/04,0.05839044228196144,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/03,0.24303758144378662,False,moving straight,tunnel,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/01,0.23419500887393951,False,turning right,bridge,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/04,0.15677398443222046,False,moving straight,bridge,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_8/03,0.5066196918487549,True,turning left,city street,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/02,0.26262596249580383,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_15/02,0.5237460732460022,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/01,0.319930762052536,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/02,0.07580745965242386,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,0.07619239389896393,False,moving straight,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_18/03,0.3090173006057739,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/04,0.1699845790863037,False,moving straight,city street,snowy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/01,0.10480514913797379,False,moving straight,tunnel,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_14/02,0.38417676091194153,False,turning right,city street,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/02,0.16952981054782867,False,moving straight,city street,cloudy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/04,0.09564622491598129,False,moving straight,tunnel,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/03,0.07649223506450653,False,curved lane driving,city street,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/02,0.06952491402626038,False,stop,intersection,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/02,0.28737643361091614,True,turning left,roundabout,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/04,0.2296411097049713,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/03,0.5525381565093994,True,turning left,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_4/02,0.4471014738082886,True,turning left,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/03,0.26800966262817383,False,moving straight,bridge,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/03,0.18808309733867645,False,moving straight,city street,snowy,daytime
The vehicle is turning left.,<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_2/04,0.1276083141565323,False,moving straight,tunnel,cloudy,daytime
The vehicle is turning left.,<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/02,0.54643714427948,False,turning right,city street,sunny,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/02,0.23997828364372253,False,moving straight,bridge,rainy,daytime
The vehicle is turning left.,<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/01,0.06953132152557373,False,stop,intersection,rainy,nighttime
The vehicle is turning left.,<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/04,0.13090652227401733,False,moving straight,tunnel,rainy,daytime
